region,Time,sex,edu,agest,prjpropfinal
32,2050,m,e1,15,0.09246668381679726
33,2050,m,e1,15,0.1203610043315754
35,2050,m,e1,15,0.09958637071081808
41,2050,m,e1,15,0.09392908899795031
42,2050,m,e1,15,0.0743332000923345
43,2050,m,e1,15,0.09267748155940438
50,2050,m,e1,15,0.09946291581944476
51,2050,m,e1,15,0.1448050303330035
52,2050,m,e1,15,0.100429268798081
53,2050,m,e1,15,0.09251596754000764
11,2055,m,e1,15,0.08440427688121234
12,2055,m,e1,15,0.21482948605648575
13,2055,m,e1,15,0.2041197972401067
14,2055,m,e1,15,0.16650455825117597
15,2055,m,e1,15,0.14296996761360836
16,2055,m,e1,15,0.06319549368261716
17,2055,m,e1,15,0.06859066795013982
21,2055,m,e1,15,0.13756332045361438
22,2055,m,e1,15,0.10674706389769358
23,2055,m,e1,15,0.07961433596929088
24,2055,m,e1,15,0.0708055321881305
25,2055,m,e1,15,0.09247030870622744
26,2055,m,e1,15,0.11571380755936968
27,2055,m,e1,15,0.15398011778535697
28,2055,m,e1,15,0.10820737044245188
29,2055,m,e1,15,0.12304729141488138
31,2055,m,e1,15,0.05683569445973027
32,2055,m,e1,15,0.0461995873510837
33,2055,m,e1,15,0.06021587791749738
35,2055,m,e1,15,0.04957335748982777
41,2055,m,e1,15,0.04685030979105479
42,2055,m,e1,15,0.03700819294358984
43,2055,m,e1,15,0.04629784111444481
50,2055,m,e1,15,0.0497996822279732
51,2055,m,e1,15,0.07235511267514565
52,2055,m,e1,15,0.05017686159877013
53,2055,m,e1,15,0.04606350531847703
11,2060,m,e1,15,0.08475547913995952
12,2060,m,e1,15,0.21609054991248705
13,2060,m,e1,15,0.2056761816109473
14,2060,m,e1,15,0.16692487795093677
15,2060,m,e1,15,0.14457201776158982
16,2060,m,e1,15,0.06338316759383933
17,2060,m,e1,15,0.06879758275130061
21,2060,m,e1,15,0.13856870111055342
22,2060,m,e1,15,0.10762517598328394
23,2060,m,e1,15,0.079854381621838
24,2060,m,e1,15,0.07114014947960877
25,2060,m,e1,15,0.09309892769076672
26,2060,m,e1,15,0.11651610417780071
27,2060,m,e1,15,0.1556603185508272
28,2060,m,e1,15,0.1092112853658164
29,2060,m,e1,15,0.12419576011519184
31,2060,m,e1,15,0.05694410632298253
32,2060,m,e1,15,0.04623844347488554
33,2060,m,e1,15,0.06033955187140168
35,2060,m,e1,15,0.04949895076746666
41,2060,m,e1,15,0.04681652176542041
42,2060,m,e1,15,0.03694027549227467
43,2060,m,e1,15,0.04633276968403296
50,2060,m,e1,15,0.0498998143578494
51,2060,m,e1,15,0.07242175903713073
52,2060,m,e1,15,0.05022407990549647
53,2060,m,e1,15,0.04598215977619693
11,2010,f,e2,15,8.03880438405045
12,2010,f,e2,15,13.153262901133212
13,2010,f,e2,15,11.526788945250573
14,2010,f,e2,15,7.17206785199813
15,2010,f,e2,15,12.867030210166076
16,2010,f,e2,15,9.40960668813334
17,2010,f,e2,15,5.903156305179649
21,2010,f,e2,15,8.824625005037666
22,2010,f,e2,15,8.211317731160516
23,2010,f,e2,15,6.35136484299164
24,2010,f,e2,15,7.354295766804617
25,2010,f,e2,15,8.02528771230629
26,2010,f,e2,15,9.330457458547446
27,2010,f,e2,15,9.486552190891985
28,2010,f,e2,15,9.04024272308252
29,2010,f,e2,15,9.456230010906802
31,2010,f,e2,15,6.569268076490401
32,2010,f,e2,15,6.303654663014521
33,2010,f,e2,15,7.698787304507059
35,2010,f,e2,15,6.337853159453419
41,2010,f,e2,15,5.5172383384207055
42,2010,f,e2,15,5.209142320429281
43,2010,f,e2,15,5.896030136196208
50,2010,f,e2,15,6.450234427116428
51,2010,f,e2,15,7.5428758112522925
52,2010,f,e2,15,6.3451736120529745
53,2010,f,e2,15,5.65108136105789
11,2015,f,e2,15,6.974640878002505
12,2015,f,e2,15,11.473507848909808
13,2015,f,e2,15,10.385243039510105
14,2015,f,e2,15,6.196169995187872
15,2015,f,e2,15,11.607586183228287
16,2015,f,e2,15,8.172432677787793
17,2015,f,e2,15,5.030438956023774
21,2015,f,e2,15,7.743345290814806
22,2015,f,e2,15,7.246102555661659
23,2015,f,e2,15,5.439389538379602
24,2015,f,e2,15,6.431349887486035
25,2015,f,e2,15,7.094120449929364
26,2015,f,e2,15,8.20281022177873
27,2015,f,e2,15,8.576147628469899
28,2015,f,e2,15,8.09177543304243
29,2015,f,e2,15,8.385149007849684
31,2015,f,e2,15,5.5503017031268955
32,2015,f,e2,15,5.331193599064338
33,2015,f,e2,15,6.605980495763958
35,2015,f,e2,15,5.24962277885376
41,2015,f,e2,15,4.61411627856583
42,2015,f,e2,15,4.304026665177585
43,2015,f,e2,15,4.985385509669336
50,2015,f,e2,15,5.5712556411012715
51,2015,f,e2,15,6.364937246419878
52,2015,f,e2,15,5.3288940464706975
53,2015,f,e2,15,4.703732139296631
11,2020,f,e2,15,6.1675295595247634
12,2020,f,e2,15,10.18341430562686
13,2020,f,e2,15,9.545253962860723
14,2020,f,e2,15,5.457544302458623
15,2020,f,e2,15,10.67925881128303
16,2020,f,e2,15,7.232556109510455
17,2020,f,e2,15,4.37219675142711
21,2020,f,e2,15,6.927043186184643
22,2020,f,e2,15,6.522341327018609
23,2020,f,e2,15,4.750902933954978
24,2020,f,e2,15,5.734435437697428
25,2020,f,e2,15,6.395768066509648
26,2020,f,e2,15,7.350090508039887
27,2020,f,e2,15,7.9189501344790365
28,2020,f,e2,15,7.391192138958269
29,2020,f,e2,15,7.581690841963565
31,2020,f,e2,15,4.782993869596754
32,2020,f,e2,15,4.598421333552397
33,2020,f,e2,15,5.777945522827154
35,2020,f,e2,15,4.4395554804453905
41,2020,f,e2,15,3.9380433122845058
42,2020,f,e2,15,3.6319586151462673
43,2020,f,e2,15,4.30006325407326
50,2020,f,e2,15,4.906375460160178
51,2020,f,e2,15,5.475571101497404
52,2020,f,e2,15,4.565652951162992
53,2020,f,e2,15,3.9963466210580862
